01/09/2021 09:00,London Camden,Elaina Jones,"Regular Luxury hot chocolate - 2.40, Large Chai latte - 2.60, Regular Chai latte - 2.30",7.3,CASH,
01/09/2021 09:02,London Camden,James Campbell,Regular Iced latte - 2.35,2.35,CARD,3899869634414720
01/09/2021 09:05,London Camden,Ricky Canales,"Large Luxury hot chocolate - 2.70, Regular Hot chocolate - 2.20, Regular Hot chocolate - 2.20",7.1,CARD,5595806090950918
01/09/2021 09:08,London Camden,Angelo Kurohara,"Regular Iced latte - 2.35, Large Flavoured hot chocolate - Hazelnut - 2.90, Large Luxury hot chocolate - 2.70, Large Flavoured hot chocolate - Vanilla - 2.90",10.85,CARD,9350030193789367
01/09/2021 09:10,London Camden,John Bossert,Large Speciality Tea - Peppermint - 1.60,1.6,CARD,2753677381370229
01/09/2021 09:13,London Camden,Irene Leary,"Large Chai latte - 2.60, Regular Chai latte - 2.30",4.9,CASH,
01/09/2021 09:16,London Camden,Morris Nielsen,"Regular Speciality Tea - Peppermint - 1.30, Regular Iced latte - 2.35, Large Flavoured latte - Vanilla - 2.85",6.5,CARD,9099278300469792
01/09/2021 09:19,London Camden,Jamie Watson,"Large Iced latte - 2.85, Large Iced latte - 2.85, Large Flavoured latte - Vanilla - 2.85",8.55,CARD,9562917837707439
01/09/2021 09:21,London Camden,Nellie Callender,"Regular Hot chocolate - 2.20, Regular Speciality Tea - Peppermint - 1.30, Large Flavoured hot chocolate - Vanilla - 2.90, Regular Speciality Tea - Peppermint - 1.30",7.7,CASH,
01/09/2021 09:24,London Camden,David Casper,Regular Hot chocolate - 2.20,2.2,CASH,
01/09/2021 09:27,London Camden,Ruben Thompson,"Large Iced latte - 2.85, Large Speciality Tea - Peppermint - 1.60",4.45,CARD,2829677810319797
01/09/2021 09:29,London Camden,David Martin,"Large Iced latte - 2.85, Regular Luxury hot chocolate - 2.40",5.25,CARD,4962354368747528
01/09/2021 09:32,London Camden,Elizabeth Milford,"Large Flavoured hot chocolate - Vanilla - 2.90, Regular Speciality Tea - Peppermint - 1.30, Large Speciality Tea - Peppermint - 1.60, Large Flavoured hot chocolate - Hazelnut - 2.90, Regular Speciality Tea - Peppermint - 1.30",10.0,CARD,1391378346682356
01/09/2021 09:35,London Camden,Tamie Snell,"Large Flavoured hot chocolate - Vanilla - 2.90, Regular Flavoured hot chocolate - Hazelnut - 2.60, Regular Flavoured latte - Vanilla - 2.55, Large Chai latte - 2.60, Large Flavoured latte - Vanilla - 2.85",13.5,CARD,5760820064465422
01/09/2021 09:38,London Camden,Patrick Byerly,Regular Hot chocolate - 2.20,2.2,CASH,
01/09/2021 09:40,London Camden,Teresa Moore,"Large Luxury hot chocolate - 2.70, Regular Flavoured hot chocolate - Vanilla - 2.60, Large Flavoured hot chocolate - Vanilla - 2.90",8.2,CARD,1024067200488121
01/09/2021 09:43,London Camden,Joann Speight,Regular Luxury hot chocolate - 2.40,2.4,CARD,7578871953710980
01/09/2021 09:46,London Camden,Chery Street,Regular Chai latte - 2.30,2.3,CASH,
01/09/2021 09:48,London Camden,Cecilia Jones,"Large Speciality Tea - Peppermint - 1.60, Large Iced latte - 2.85",4.45,CARD,2092685907322240
01/09/2021 09:51,London Camden,Rosemary Shin,"Large Hot chocolate - 2.90, Regular Flavoured latte - Vanilla - 2.55, Regular Flavoured hot chocolate - Vanilla - 2.60, Large Speciality Tea - Peppermint - 1.60, Regular Flavoured latte - Vanilla - 2.55",12.2,CASH,
01/09/2021 09:54,London Camden,Bruno Cervantes,Large Hot chocolate - 2.90,2.9,CARD,8649546968585294
01/09/2021 09:57,London Camden,Brian Walters,"Regular Iced latte - 2.35, Regular Flavoured hot chocolate - Vanilla - 2.60",4.95,CARD,5311576320223118
01/09/2021 09:59,London Camden,Carl Duffy,"Large Luxury hot chocolate - 2.70, Large Speciality Tea - Peppermint - 1.60",4.3,CARD,6642200506288313
01/09/2021 10:02,London Camden,Richard Silva,"Regular Speciality Tea - Peppermint - 1.30, Regular Flavoured hot chocolate - Hazelnut - 2.60",3.9,CARD,6671732043773055
01/09/2021 10:04,London Camden,Stephanie Spencer,"Large Chai latte - 2.60, Large Flavoured hot chocolate - Vanilla - 2.90",5.5,CASH,
01/09/2021 10:06,London Camden,Ellen Garcia,"Regular Luxury hot chocolate - 2.40, Regular Flavoured hot chocolate - Vanilla - 2.60",5.0,CARD,1233191148113046
01/09/2021 10:09,London Camden,Thelma Martinez,"Large Luxury hot chocolate - 2.70, Regular Hot chocolate - 2.20, Large Speciality Tea - Peppermint - 1.60",6.5,CARD,5706045310467286
01/09/2021 10:11,London Camden,Thomas Chandler,"Regular Flavoured hot chocolate - Vanilla - 2.60, Large Speciality Tea - Peppermint - 1.60, Large Flavoured hot chocolate - Vanilla - 2.90",7.1,CASH,
01/09/2021 10:13,London Camden,Herlinda Cook,Regular Hot chocolate - 2.20,2.2,CARD,5537231183598745
01/09/2021 10:15,London Camden,Lori Foster,"Large Speciality Tea - Peppermint - 1.60, Regular Iced latte - 2.35, Regular Flavoured hot chocolate - Vanilla - 2.60, Regular Luxury hot chocolate - 2.40",8.95,CARD,5602468495705558
01/09/2021 10:18,London Camden,Heath Taylor,"Large Iced latte - 2.85, Regular Hot chocolate - 2.20",5.05,CARD,9391803052840323
01/09/2021 10:20,London Camden,Teresa Call,"Regular Iced latte - 2.35, Regular Iced latte - 2.35, Regular Chai latte - 2.30, Regular Chai latte - 2.30, Large Speciality Tea - Peppermint - 1.60",10.9,CARD,3935662475393338
01/09/2021 10:22,London Camden,Gloria Lalk,"Regular Chai latte - 2.30, Regular Chai latte - 2.30",4.6,CARD,1630090013444384
01/09/2021 10:24,London Camden,Steven Teeter,"Regular Flavoured hot chocolate - Vanilla - 2.60, Large Hot chocolate - 2.90",5.5,CARD,9950442929553556
01/09/2021 10:26,London Camden,Henry Oconnell,"Regular Flavoured hot chocolate - Vanilla - 2.60, Regular Hot chocolate - 2.20, Large Speciality Tea - Peppermint - 1.60",6.4,CARD,5534271566090331
01/09/2021 10:29,London Camden,Abram Fitz,"Regular Flavoured hot chocolate - Hazelnut - 2.60, Large Flavoured latte - Vanilla - 2.85, Regular Iced latte - 2.35, Large Speciality Tea - Peppermint - 1.60",9.4,CARD,1517322443314096
